;time;id;x;y;height;cam
660;1557995133712;27966;249;198;1474;D8:80:39:D8:42:9E
661;1557995133920;27966;257;192;1492;D8:80:39:D8:42:9E
662;1557995134212;27966;271;183;1636;D8:80:39:D8:42:9E
663;1557995134413;27966;270;182;1762;D8:80:39:D8:42:9E
664;1557995134707;27966;266;183;1842;D8:80:39:D8:42:9E
665;1557995134909;27966;267;186;1841;D8:80:39:D8:42:9E
666;1557995135226;27966;273;195;1776;D8:80:39:D8:42:9E
667;1557995135435;27966;278;199;1708;D8:80:39:D8:42:9E
668;1557995135710;27966;281;201;1664;D8:80:39:D8:42:9E
669;1557995136010;27966;278;199;1721;D8:80:39:D8:42:9E
670;1557995136253;27966;274;195;1784;D8:80:39:D8:42:9E
671;1557995136413;27966;267;191;1836;D8:80:39:D8:42:9E
672;1557995136710;27966;258;186;1878;D8:80:39:D8:42:9E
673;1557995136911;27966;255;184;1887;D8:80:39:D8:42:9E
674;1557995137221;27966;254;182;1888;D8:80:39:D8:42:9E
675;1557995137408;27966;256;181;1891;D8:80:39:D8:42:9E
676;1557995137714;27966;259;182;1888;D8:80:39:D8:42:9E
677;1557995137907;27966;260;182;1879;D8:80:39:D8:42:9E
678;1557995138211;27966;261;180;1857;D8:80:39:D8:42:9E
679;1557995138408;27966;262;180;1838;D8:80:39:D8:42:9E
680;1557995138717;27966;264;180;1797;D8:80:39:D8:42:9E
681;1557995138918;27966;267;180;1715;D8:80:39:D8:42:9E
682;1557995139220;27966;271;179;1547;D8:80:39:D8:42:9E
683;1557995139411;27966;272;178;1486;D8:80:39:D8:42:9E
684;1557995139707;27966;273;178;1457;D8:80:39:D8:42:9E
685;1557995139917;27966;266;178;1439;D8:80:39:D8:42:9E
686;1557995140208;27966;255;176;1421;D8:80:39:D8:42:9E
687;1557995140408;27966;255;176;1421;D8:80:39:D8:42:9E
688;1557995140712;27966;260;178;1427;D8:80:39:D8:42:9E
689;1557995140913;27966;268;179;1439;D8:80:39:D8:42:9E
690;1557995141226;27966;274;179;1452;D8:80:39:D8:42:9E
691;1557995141421;27966;274;179;1452;D8:80:39:D8:42:9E
692;1557995141713;27966;274;179;1452;D8:80:39:D8:42:9E
693;1557995141909;27966;274;179;1452;D8:80:39:D8:42:9E
694;1557995142208;27966;271;179;1445;D8:80:39:D8:42:9E
695;1557995142513;27966;274;179;1452;D8:80:39:D8:42:9E
696;1557995142707;27966;268;178;1439;D8:80:39:D8:42:9E
697;1557995142937;27966;260;177;1427;D8:80:39:D8:42:9E
698;1557995143213;27966;256;177;1414;D8:80:39:D8:42:9E
699;1557995143415;27966;256;178;1414;D8:80:39:D8:42:9E
700;1557995143720;27966;256;177;1420;D8:80:39:D8:42:9E
701;1557995143914;27966;256;177;1420;D8:80:39:D8:42:9E
702;1557995144210;27966;256;178;1420;D8:80:39:D8:42:9E
703;1557995144512;27966;256;177;1414;D8:80:39:D8:42:9E
704;1557995144709;27966;258;178;1389;D8:80:39:D8:42:9E
